"id","domain","open_registration","description","banner_url","location.city","location.country","software.id","software.name","software.url","software.version","stats.status_count","stats.user_count","stats.monthly_active_users","first_seen_at","last_seen_at","date_scraped"
18059,"mastodon.social",TRUE,"The original server operated by the Mastodon gGmbH non-profit","https://fedidb.pixelcdn.net/instances/18059/taoanmlo_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230523,56866525, 1163970,  213833,"2021-03-30T20:10:40.000000Z","2023-06-08T16:02:23.000000Z",2023-06-08
18033,"mstdn.jp",TRUE,NA,NA,NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1,67054963,  351765,   31551,"2021-03-30T20:10:41.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
17921,"mastodon.cloud",TRUE,"Everyone is welcome as long as you follow our code of conduct! Thank you.

Mastodon.cloud is maintained by Sujitech, LLC.
","https://fedidb.pixelcdn.net/instances/17921/j1ft9vyh_thumbnail.jpg",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 5348341,  256840,    9139,"2021-03-30T20:10:42.000000Z","2023-06-08T16:02:21.000000Z",2023-06-08
18048,"mstdn.social",TRUE,"A general-purpose Mastodon server with a 500 character limit. All languages are welcome.","https://fedidb.pixelcdn.net/instances/18048/vdkiqsbx_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,11313318,  198173,   32353,"2021-03-30T20:10:42.000000Z","2023-06-08T16:02:23.000000Z",2023-06-08
17937,"misskey.io",TRUE,NA,NA,NA,United States, 12,Misskey,https://fedidb.org/software/misskey,13.12.2,18338164,  184048,    3070,"2021-03-21T07:02:57.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
18053,"mastodon.online",TRUE,"A newer server operated by the Mastodon gGmbH non-profit","https://fedidb.pixelcdn.net/instances/18053/7gmch41p_thumbnail.png",Helsinki,Finland,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230523, 5195314,  178144,   23326,"2021-03-30T20:10:42.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
16811,"mastodon.world",TRUE,"Generic Mastodon server for anyone to use.","https://fedidb.pixelcdn.net/instances/16811/mealcl98_thumbnail.png",Helsinki,Finland,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230517, 3086830,  164460,   31533,"2021-03-21T07:01:16.000000Z","2023-06-08T16:02:08.000000Z",2023-06-08
18040,"mas.to",TRUE,"Hello! mas.to is a fast, up-to-date and fun Mastodon server.","https://fedidb.pixelcdn.net/instances/18040/v6naraxq_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 4632465,  159678,   24725,"2021-03-21T07:03:05.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
11856,"micro.blog",TRUE,NA,NA,NA,NA,127,Microdotblog,https://fedidb.org/software/microdotblog,2.1, 4924526,  112477,    4826,"2021-03-21T06:54:12.000000Z","2023-06-08T18:00:40.000000Z",2023-06-08
48838,"gc2.jp",TRUE,"GC2はYouTubeやTwitterといった既存のSNSより言論の自由を尊重したSNSです。","https://fedidb.pixelcdn.net/instances/48838/8pa8e9gt_thumbnail.jpg",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,3.5.3, 1206801,  100099,   16628,"2022-12-30T23:02:35.000000Z","2023-06-08T10:05:27.000000Z",2023-06-08
18006,"pixelfed.social",FALSE,"The original Pixelfed instance, operated by the main developer @dansup","https://fedidb.pixelcdn.net/instances/18006/lccpjrdx_thumbnail.jpg",NA,United States,  1,Pixelfed,https://fedidb.org/software/pixelfed,0.11.8, 3326493,   79105,    4928,"2021-03-30T20:10:44.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
 4411,"techhub.social",TRUE,"A hub primarily for passionate technologists, but everyone is welcome","https://fedidb.pixelcdn.net/instances/4411/kmjkyfzw_thumbnail.png",Montreal,Canada,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  760996,   76569,   12988,"2021-03-21T06:34:35.000000Z","2023-06-08T20:00:39.000000Z",2023-06-08
28482,"universeodon.com",TRUE,"Be one with the #fediverse. Join millions of humans building, creating, and collaborating on Mastodon Social Network.","https://fedidb.pixelcdn.net/instances/28482/attnlhys_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.2.0, 1876486,   74213,   10964,"2022-11-05T10:30:07.000000Z","2023-06-08T16:04:17.000000Z",2023-06-08
 9294,"mastodon.sdf.org",TRUE,"""I appreciate SDF but it's a general-purpose server and the name doesn't make it obvious that it's about art."" - Eugen Rochko","https://fedidb.pixelcdn.net/instances/9294/hx7a7sn5_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.0.2, 1293827,   72613,    8370,"2021-03-21T06:43:56.000000Z","2023-06-08T17:03:31.000000Z",2023-06-08
28312,"mastodonapp.uk",TRUE,"UK Hosted and Managed Mastodon Instance. General communal space for discussion, everyone welcome!","https://fedidb.pixelcdn.net/instances/28312/kvj8gc7i_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1742475,   71393,   11503,"2022-11-04T22:30:09.000000Z","2023-06-08T17:11:07.000000Z",2023-06-08
28964,"masto.ai",TRUE,"A general Mastodon server for all languages.","https://fedidb.pixelcdn.net/instances/28964/finlpn1i_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1305878,   69508,    7251,"2022-11-09T13:00:13.000000Z","2023-06-08T17:11:21.000000Z",2023-06-08
36950,"bird.makeup",TRUE,NA,NA,NA,NA, 31,Birdsitelive,https://fedidb.org/software/birdsitelive,1.0.0,       0,   67877,NA,"2022-11-28T04:30:15.000000Z","2023-06-08T16:06:10.000000Z",2023-06-08
17935,"mastodon.uno",TRUE,"Mastodon.Uno è la prima comunità generalista italiana.
Con oltre 65.000 iscritti è il più grande nodo Mastodon italiano. ","https://fedidb.pixelcdn.net/instances/17935/t4ebjt6n_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1096583,   67410,    9804,"2021-03-21T07:02:56.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
17378,"c.im",TRUE,"C.IM is a general, mainly English-speaking Mastodon instance.","https://fedidb.pixelcdn.net/instances/17378/erzc3uau_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1478113,   63165,    7011,"2021-03-21T07:02:08.000000Z","2023-06-08T16:02:15.000000Z",2023-06-08
18015,"fosstodon.org",TRUE,"Fosstodon is an English speaking Mastodon instance that is open to anyone who is interested in technology; particularly free &amp; open source software.","https://fedidb.pixelcdn.net/instances/18015/gldfefgu_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2227339,   58478,   15204,"2021-03-21T07:03:03.000000Z","2023-06-08T18:00:54.000000Z",2023-06-08
15853,"infosec.exchange",TRUE,"A Mastodon instance for info/cyber security-minded people.
","https://fedidb.pixelcdn.net/instances/15853/jyt8wma1_thumbnail.png",Seattle,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1+glitch, 1477907,   54585,   17420,"2021-03-21T06:59:49.000000Z","2023-06-08T16:01:58.000000Z",2023-06-08
16950,"mastodon.top",FALSE,"Mastodon.top est une instance francophone stable, régulièrement mise à jour et accessible à tous hébergée par VirtuBox","https://fedidb.pixelcdn.net/instances/16950/4xoiszl7_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  494806,   50976,    4282,"2021-03-21T07:01:27.000000Z","2023-06-08T16:02:10.000000Z",2023-06-08
30282,"mstdn.party",TRUE,"Mastodon Party is a general-purpose Mastodon instance, welcome to the fediverse!","https://fedidb.pixelcdn.net/instances/30282/6ebcqef7_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.0, 1089730,   49063,    6318,"2022-11-09T11:03:10.000000Z","2023-06-08T16:04:41.000000Z",2023-06-08
23869,"hachyderm.io",TRUE,"Hachyderm is a safe space, LGBTQIA+ and BLM, primarily comprised of tech industry professionals world wide. Note that many non-user account types have restrictions - please see our About page.","https://fedidb.pixelcdn.net/instances/23869/jagrzmtt_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1388155,   47478,   14538,"2022-04-27T21:01:52.000000Z","2023-06-08T18:01:07.000000Z",2023-06-08
17920,"troet.cafe",TRUE,"Hallo im troet.cafe!
Dies ist die derzeit größte deutschsprachige Mastodon Instanz zum tröten, neue Leute kennenlernen, sich auszutauschen und Spaß zu haben.","https://fedidb.pixelcdn.net/instances/17920/ieudfqao_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2414322,   40027,   11715,"2021-03-21T07:02:55.000000Z","2023-06-08T16:02:21.000000Z",2023-06-08
17575,"m.cmx.im",TRUE,"长毛象中文站是一个开放、友好、有爱的社区。长毛象中文站主题为喵、汪、各种动物、社交、科技、编程及生活。我们欢迎友好、热情、乐于分享的朋友，无论你的兴趣点是什么。","https://fedidb.pixelcdn.net/instances/17575/dyufsoo0_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 4145571,   39180,    9904,"2021-03-21T07:02:25.000000Z","2023-06-08T16:02:17.000000Z",2023-06-08
17996,"mastodon.nl",TRUE,"Mastodon voor de Nederlandse community - door de Nederlandse community","https://fedidb.pixelcdn.net/instances/17996/483aipjn_thumbnail.png",Nuremberg,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.0.2, 1178711,   38897,    7743,"2021-03-21T07:03:02.000000Z","2023-06-08T19:00:50.000000Z",2023-06-08
18027,"mamot.fr",FALSE,"Mamot.fr est un serveur Mastodon francophone, géré par La Quadrature du Net.","https://fedidb.pixelcdn.net/instances/18027/l1g2tqwb_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 6163596,   38455,    2997,"2021-03-30T20:10:47.000000Z","2023-06-08T16:02:22.000000Z",2023-06-08
29966,"ohai.social",TRUE,"ohai.social is a fast, secure and up-to-date Mastodon server where everyone is welcome. Join us!","https://fedidb.pixelcdn.net/instances/29966/fln2kcdg_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  732672,   38269,    4996,"2022-11-08T23:30:25.000000Z","2023-06-08T16:04:37.000000Z",2023-06-08
17515,"sfba.social",TRUE,"A Mastodon instance for the San Francisco Bay Area. Come on in and join us!","https://fedidb.pixelcdn.net/instances/17515/zzdaz2n1_thumbnail.png",Fremont,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 1178640,   37941,    6137,"2021-03-21T07:02:20.000000Z","2023-06-08T17:07:26.000000Z",2023-06-08
29103,"home.social",FALSE,"Hosted fully redundant in Germany. Committed to speed &amp; availability. For people who want to be excellent to each other. English and German. Operated for the community by Rottmann Ventures GmbH.","https://fedidb.pixelcdn.net/instances/29103/0yhtnp5u_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  739809,   36582,    5748,"2022-11-10T02:00:12.000000Z","2023-06-08T16:04:28.000000Z",2023-06-08
18037,"kolektiva.social",TRUE,"Kolektiva is an anti-colonial anarchist collective that offers federated social media to anarchist collectives and individuals in the fediverse. For the social movements and liberation!","https://fedidb.pixelcdn.net/instances/18037/tpn5392v_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1528807,   36068,    6796,"2021-03-21T07:03:05.000000Z","2023-06-08T18:00:54.000000Z",2023-06-08
23268,"mindly.social",TRUE,"Mindly.Social is an English speaking, friendly Mastodon instance created for people who want to use their brains and their hearts to make social networking more social. 🧠💖","https://fedidb.pixelcdn.net/instances/23268/zn4yw4hc_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  846158,   35425,    4298,"2022-04-10T20:01:45.000000Z","2023-06-08T16:03:06.000000Z",2023-06-08
23732,"mstdn.ca",TRUE,"A community for Canadians, First nations, Metis, and Inuit Peoples of the great white north.","https://fedidb.pixelcdn.net/instances/23732/stvr4gsk_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+glitch, 1207816,   34306,    6613,"2022-04-27T09:01:24.000000Z","2023-06-08T16:03:13.000000Z",2023-06-08
18046,"mastodon.art",TRUE,"Mastodon.ART — Your friendly home on the fediverse for all things creative, all on a platform that is community-owned and ad-free. NO CRYPTOART / NFTs ALLOWED.","https://fedidb.pixelcdn.net/instances/18046/gnw1l1zk_thumbnail.png",Dompierre-sur-Mer,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2336717,   31878,    6056,"2021-03-21T07:03:06.000000Z","2023-06-08T21:01:44.000000Z",2023-06-08
18512,"lemmy.ml",FALSE,NA,NA,NA,France, 59,Lemmy,https://fedidb.org/software/lemmy,0.17.3,   77271,   31865,    1626,"2021-04-27T00:08:32.000000Z","2023-06-08T16:02:26.000000Z",2023-06-08
45432,"loforo.com",TRUE,"Loforo.com is a fast, friendly and free microblog service that supports ActivityPub and Mastodon.","https://fedidb.pixelcdn.net/instances/45432/ej4xlbbd_thumbnail.jpg",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.0.2, 3825911,   31298,   10240,"2022-12-11T16:05:20.000000Z","2023-06-08T16:06:26.000000Z",2023-06-08
32135,"social.vivaldi.net",TRUE,"Vivaldi Social is part of the Mastodon network and is hosted in Iceland by the makers of Vivaldi Browser. Everyone is welcome to join.","https://fedidb.pixelcdn.net/instances/32135/zidxsiai_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  911642,   31182,    6642,"2022-11-13T22:02:02.000000Z","2023-06-08T18:01:30.000000Z",2023-06-08
23339,"tkz.one",TRUE,"La comunidad Mastodon más grande en Español para gamers, otakus y geeks. Libre de toxicidad. Contenido de anime, manga, videojuegos, tecnología, comics, literatura, cine... ¡Únete a la familia!","https://fedidb.pixelcdn.net/instances/23339/facsmsom_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.0,  318287,   30268,    2111,"2022-04-15T19:01:42.000000Z","2023-06-08T18:01:05.000000Z",2023-06-08
47346,"mast.lat",TRUE,NA,"https://fedidb.pixelcdn.net/instances/47346/5sv66rdv_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.0,   17575,   30266,     929,"2022-12-20T00:30:13.000000Z","2023-06-08T16:06:49.000000Z",2023-06-08
